Class,Epoch,Accuracy (Original),F1 (Original),Accuracy (Synthetic),F1 (Synthetic)
0,0,0.831041518807665,0.8195043358764158,0.8254968062455642,0.8103730839679938
0,10,0.8024308019872249,0.798297255683362,0.8262952448545068,0.8129537638517387
0,20,0.7959989354151881,0.792154381524834,0.82416607523066,0.8127362055933485
0,30,0.782957771469127,0.7813965956306126,0.777235628105039,0.7751410405659532
0,40,0.7709811923349894,0.7731646236984315,0.7975070972320795,0.7900087400524404
0,50,0.7694730305180979,0.7720514057634107,0.805624556422995,0.7965267459138188
1,0,0.8998403122782115,0.8429981921846752,0.8950053229240597,0.8284409654272669
1,10,0.7623757984386089,0.5242028599342748,0.8827625975869411,0.8016212564737671
1,20,0.8497604684173172,0.7801363193768258,0.752750177430802,0.4885300055055973
1,30,0.8352998580553584,0.7625503613225043,0.7697835344215755,0.49660523763336567
1,40,0.848207948899929,0.773046823186099,0.7679648687012065,0.48851080473257064
1,50,0.8244322214336409,0.7237576772752653,0.7580287437899219,0.4445575806944303
2,0,0.859208658623137,0.5122925629993854,0.8804559971611071,0.5771222344264868
2,10,0.769694819020582,0.3852711342647407,0.9397622427253371,0.7429977289931871
2,20,0.8982877927608233,0.3980047256497769,0.9300035486160397,0.6413636363636364
2,30,0.8900372604684174,0.3955132894415996,0.9218417317246274,0.617122990004346
2,40,0.8865773598296665,0.39821134384561074,0.9274751596877218,0.7020229633679607
2,50,0.910929737402413,0.4690639873083025,0.7828246983676366,0.42399999999999993
3,0,0.8746007806955287,0.023488773747841106,0.8686568488289567,0.10840108401084012
3,10,0.8706973030518098,0.056328909032049214,0.8527324343506033,0.29690808979246075
3,20,0.8534421575585521,0.031085043988269796,0.7117193044712562,0.15652173913043477
3,30,0.8778388928317956,0.0,0.7066181689141235,0.11387995712754553
3,40,0.877528388928318,0.012164579606440072,0.7183729595457772,0.08397056701774636
3,50,0.8343239886444287,0.057056298914415556,0.8089957416607523,0.12372812372812372
4,0,0.9911284599006388,0.0,0.9652679205110007,0.0799059929494712
4,10,0.9914833215046132,0.09433962264150944,0.9659776437189496,0.06804374240583232
4,20,0.9866483321504613,0.10682492581602374,0.961541873669269,0.05452562704471101
4,30,0.9907292405961675,0.018779342723004695,0.9859829666430092,0.164021164021164
4,40,0.9913502484031228,0.04878048780487806,0.9721433640880057,0.10795454545454544
4,50,0.9915720369056068,0.12844036697247707,0.9885113555713272,0.1829652996845426
